GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSG00000249790	13.853279151248909	1.1586599984418493	0.12897286027429586	8.98375050361482	2.61690741924118e-19	4.1922856856243705e-16	TRUE
ENSG00000174130	14.096801592518766	0.3804430257128079	0.058070549898322985	6.551393544213617	5.700261681317678e-11	4.56590960673546e-8	TRUE
ENSG00000222328	18.370624035165392	0.8167306893861719	0.13663819231729346	5.977323583801564	2.2683335734758007e-9	1.2112901282360775e-6	TRUE
ENSG00000135486	41.872824131972074	-0.37891618921273035	0.06506278838173128	-5.823854135939933	5.750577091496306e-9	2.1560226654485325e-6	TRUE
ENSG00000242616	15.49270251179724	0.3333330411479209	0.05749552244078642	5.797547826288811	6.729159380301288e-9	2.1560226654485325e-6	TRUE
ENSG00000143226	51.889448458633275	0.2644123029413326	0.046687571030269125	5.663440978111824	1.4836721854107875e-8	3.961404735046803e-6	TRUE
ENSG00000184009	44.698366668251424	-0.2377904854030837	0.04542420833213011	-5.234884528188602	1.650880396280631e-7	3.77815770691653e-5	TRUE
ENSG00000196419	17.34092119618312	-0.24938075092300394	0.05033402009279714	-4.954516854867522	7.251023145733161e-7	1.4520173849330657e-4	TRUE
ENSG00000198814	17.945621829520626	0.30526282916563047	0.06260926120253081	4.875681701116943	1.0843333298028316e-6	1.9301133270490403e-4	TRUE
ENSG00000140379	18.005579207006882	0.3567605457010814	0.07551158108360774	4.724580528992896	2.30590827910567e-6	3.6940650631272836e-4	TRUE
ENSG00000026103	13.49642431678292	0.2757054507279928	0.05906391634130069	4.667916856966097	3.0426897344086713e-6	3.749529965017455e-4	TRUE
ENSG00000151726	67.65220179592545	0.2591674757546699	0.05518831618814095	4.696056949285231	2.6523162203568977e-6	3.749529965017455e-4	TRUE
ENSG00000198712	16.16167806983669	-0.265247101697899	0.05680971615664109	-4.669044657194462	3.02603602377222e-6	3.749529965017455e-4	TRUE
ENSG00000134333	16.019304916251123	-0.2496511789550339	0.05461939844763637	-4.570742008342961	4.860003060453811e-6	5.561232073462147e-4	TRUE
ENSG00000087253	17.52820043650232	0.2986908866725729	0.06580444672925737	4.5390684295469	5.6503298763641245e-6	6.034552307956885e-4	TRUE
ENSG00000166913	31.91151583019018	-0.1657831184436844	0.03673470318504816	-4.512983747508863	6.392192216739569e-6	6.400182457010494e-4	TRUE
ENSG00000091527	31.013624648643503	-0.16722294044854397	0.0375920071452437	-4.448364244091758	8.652670927793828e-6	8.153869897838654e-4	TRUE
ENSG00000102317	15.622383955996531	-0.2706494439070973	0.0622095958405018	-4.350606047996375	1.3576177588084756e-5	0.0012082798053395434	TRUE
ENSG00000119335	35.18895483907078	-0.18681201856335847	0.04325603560944953	-4.318750341571947	1.569151633913687e-5	0.00132304258817354	TRUE
ENSG00000115271	63.564756579046986	0.24910197958537564	0.05818175508035713	4.281444917591966	1.856836883582837e-5	0.0014873263437498523	TRUE
ENSG00000172322	28.246800450225873	0.5480980822153859	0.1288840648407133	4.252644288436865	2.1126100926577426e-5	0.0015383642583807742	TRUE
ENSG00000173559	46.90269655894386	0.18989897175146503	0.044576414289954236	4.260077325112728	2.043561925418659e-5	0.0015383642583807742	TRUE
ENSG00000136040	47.745888686063914	0.17038543130603767	0.040176712274871025	4.240900304144776	2.226250105672573e-5	0.001550631595342375	TRUE
ENSG00000168385	25.21310670778589	-0.17510260487856671	0.042538687912907686	-4.11631419467065	3.8497941430251864e-5	0.002569737590469312	TRUE
ENSG00000175857	18.840288067881353	0.30062532594236857	0.07516094206471614	3.9997546289869526	6.340819202230223e-5	0.004063196944789127	TRUE
ENSG00000174125	48.86555410064238	0.1830977310446482	0.0461315272932144	3.9690368341995144	7.216372743398255e-5	0.004446395821124617	TRUE
ENSG00000164308	17.49820007050398	-0.34107128419056026	0.08616180216541591	-3.958497566424641	7.542270942088765e-5	0.004475080758972667	TRUE
ENSG00000153922	29.56496503099469	0.1536826288053168	0.03909382430313707	3.931122921452957	8.455002676046894e-5	0.004837469388223973	TRUE
ENSG00000123700	14.322580051930059	0.23661305336072821	0.06153760624389054	3.84501555720197	1.2054479051278291e-4	0.006659060496602697	TRUE
ENSG00000026025	45.31615101326448	-0.13936902233344028	0.03634733080283718	-3.8343674557406975	1.258878318459397e-4	0.006722410220573179	TRUE
ENSG00000142864	25.93421222640446	-0.16380634383749795	0.04311170789304822	-3.79957908983494	1.4494205135221334e-4	0.007256161445820181	TRUE
ENSG00000198938	27.272669841829423	-0.22863390070200817	0.06013526657110277	-3.8019936343289658	1.4353641606612273e-4	0.007256161445820181	TRUE
ENSG00000179144	15.176745214189424	-0.20492974251693596	0.05423145724302096	-3.7787983752420438	1.5758695184234746e-4	0.007650130207619414	TRUE
ENSG00000105205	18.980471732265634	0.6023630688670131	0.16018924145035077	3.760321625929605	1.6969503992193905e-4	0.007995630998674893	TRUE
ENSG00000005020	13.072063300527866	0.21768453519041586	0.058078532898900914	3.7481066467251507	1.7817449714339862e-4	0.008155301269249274	TRUE
ENSG00000132341	15.60583507244338	-0.2365261818937817	0.06352475923410691	-3.72336998589975	1.965811140768012e-4	0.008747859576417653	TRUE
ENSG00000100368	16.961448432186035	0.26823852110451935	0.07259297198020032	3.6951031730410655	2.1979751705448512e-4	0.009516638441115815	TRUE
ENSG00000163221	14.028238645823496	-0.25919236261237677	0.07032507790998416	-3.6856320720204825	2.2813573617777038e-4	0.009617722351494424	TRUE
ENSG00000090382	166.5914379857784	-0.0579082347014791	0.015797759334789042	-3.66559797970567	2.4676131154517997e-4	0.009645573018862008	TRUE
ENSG00000136167	126.85640136092528	-0.06781258771325059	0.018515981234388683	-3.662381531652566	2.4988132239390175e-4	0.009645573018862008	TRUE
ENSG00000138757	19.48550330525699	-0.17186459808064344	0.04695530634931685	-3.6601741409604047	2.5204389791706153e-4	0.009645573018862008	TRUE
ENSG00000270629	15.815202013746381	0.25490857181236726	0.06965999263358974	3.659325276607214	2.5288019150574554e-4	0.009645573018862008	TRUE
ENSG00000150093	63.93264635190923	-0.16210684757893676	0.04442019267907386	-3.6493954168574447	2.6285822737851373e-4	0.009792997215357651	TRUE
ENSG00000006459	27.81888640720617	-0.14114789062770508	0.03921966690687142	-3.5989059000135337	3.195587842280121e-4	0.011366604790071335	TRUE
ENSG00000082146	43.611530769810535	0.4421978454522972	0.12305809487473959	3.593407210654519	3.2638191032664256e-4	0.011366604790071335	TRUE
ENSG00000123066	31.375163575178675	0.15776477230781724	0.0438232578800777	3.60002382158671	3.181880286153074e-4	0.011366604790071335	TRUE
ENSG00000110955	25.036092029791426	-0.158065777762439	0.044101576774822966	-3.58412985026596	3.382038111159467e-4	0.011527712881015884	TRUE
ENSG00000081189	15.769392337526677	0.27707223046611634	0.07748981612718304	3.5755954048382463	3.494317132918817e-4	0.011662283431116551	TRUE
ENSG00000110852	26.5644653860276	0.23740532663772204	0.06684808134711302	3.5514157153588206	3.831646918719999e-4	0.012494343496896073	TRUE
ENSG00000198189	32.59103296606464	0.1493086673110755	0.04209688857008628	3.546786291877473	3.899607832988787e-4	0.012494343496896073	TRUE
